p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['indonesiagarud1 garudacare1 flyklia']', '[]', negative
0, 0, 4, 0, 0, -5, 0, 0, '[]', '[]', '['lionairgrou1 sriwijayaai1 citilin1 kemenhub151']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['sandalista1789']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#pilo1 #pilotmabu1 #arsi1 #tribunmedan']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['atragun1 citilink']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#citilin1 #semaran1 #surabaya']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['anitasae']', '[]', negative
0, 1, 2, 0, -1, -3, 0, 0, '[]', '[]', '['sriwijayaai1 hrdsjgroup']', '[]', negative
0, 1, 1, 0, -1, -3, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['null']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['sriwijayaair']', '[]', negative
0, 1, 0, 0, -1, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 1, 0, 0, -2, 0, 0, '[]', '[]', '['dimskyprasetyo']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['susipudjiastuti']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#freebaggag1 #citilin1 #txtrave1 #txtegal']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#tzetta']', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['one100111']', '[]', negative
