1p,2p,3p,1n,2n,3n,ep,en,date,time,mention,hashtag,Class
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['citilink']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['ffarliani']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '[]', '['#piknikmura1 #piknikceri1 #piknikki']', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['travelok1 citilink']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['info']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['nann_nnda']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['meigui_hikar1 sarah_pndj']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['firmansyah_ajaa']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['citilin1 indonesiagaruda']', '[]', positive
0, 0, 0, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['maulinda_aniet']', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '['#harleybancakan']', negative
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['citilin1 indonesiagarud1 pertamin1 lionairi1 airasia_indo']', '[\'#natal2011 #tahunbaru2021 #bacakoranr1 #clickrmcoi1 #rakyatmerdeka\']', positive
0, 0, 1, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', neutral
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['kireinahana74']', '[]', positive
0, 0, 4, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 3, 1, 0, -2, -5, 0, 0, '[]', '[]', '['adijaya_k1 ariasarlit1 indonesiagarud1 arieparikesit']', '[]', negative
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '[]', '[]', positive
0, 0, 2, 0, 0, 0, 0, 0, '[]', '[]', '['cerahpelangiku']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['arfarushaida']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 0, 0, 0, -2, 0, 0, '[]', '[]', '['womanfeeds']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['dheedian']', '[]', negative
0, 2, 1, 0, -3, -3, 0, 0, '[]', '[]', '['indonesiagaruda']', '[]', negative
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '[]', '[]', negative
0, 0, 3, 0, 0, 0, 0, 0, '[]', '[]', '['bl0bby']', '[]', positive
0, 0, 3, 0, 0, -1, 0, 0, '[]', '[]', '['erryakbartpk1 alvinlie21 jokow1 kemenbum1 budikarya1 indonesiagaruda']', '[]', positive
0, 0, 0, 0, 0, -1, 0, 0, '[]', '[]', '['jolie_mitr1 citilink']', '[]', negative
